1,"PC wins!",rock,paper
2,"Player wins!",paper,rock
3,Draw,paper,paper
4,Draw,paper,paper
5,"PC wins!",paper,scissors
6,"PC wins!",paper,scissors
7,"PC wins!",rock,paper
8,"PC wins!",rock,paper
9,Draw,rock,rock
10,"PC wins!",rock,paper
11,"Player wins!",rock,scissors
12,Draw,rock,rock
13,"Player wins!",rock,scissors
14,"PC wins!",rock,paper
15,Draw,rock,rock
16,"PC wins!",rock,paper
17,"PC wins!",rock,paper
18,Draw,rock,rock
19,"PC wins!",rock,paper
20,"Player wins!",rock,scissors
21,"Player wins!",rock,scissors
22,"Player wins!",rock,scissors
23,"Player wins!",rock,scissors
24,Draw,rock,rock
25,Draw,rock,rock
26,"Player wins!",rock,scissors
27,"PC wins!",rock,paper
28,Draw,rock,rock
29,"PC wins!",rock,paper
30,"Player wins!",rock,scissors
31,Draw,rock,rock
32,"Player wins!",rock,scissors
33,Draw,rock,rock
34,"Player wins!",rock,scissors
35,Draw,rock,rock
36,"PC wins!",rock,paper
37,Draw,rock,rock
38,"PC wins!",rock,paper
39,Draw,rock,rock
40,"Player wins!",rock,scissors
41,"Player wins!",rock,scissors
42,Draw,rock,rock
43,Draw,rock,rock
44,"Player wins!",rock,scissors
45,"Player wins!",rock,scissors
46,Draw,rock,rock
47,Draw,rock,rock
48,"PC wins!",rock,paper
49,Draw,rock,rock
50,"Player wins!",rock,scissors
